Year,Auto95_USA,Auto_95_Germany,Auto_95_France,Auto_95_GB,Auto_95_Japan
1963,0.05150214592274678,0.06009389671361502,0.04884318766066838,0.03926701570680628,0.10638297872340426
1964,0.04,0.05292702485966319,0.03747072599531616,0.015217391304347827,0.11940298507462686
1965,0.044444444444444446,0.061168384879725084,0.06806282722513089,0.04046242774566474,0.08450704225352113
1966,0.04959919839679359,0.045364891518737675,0.031135531135531136,0.07079646017699115,0.057692307692307696
1967,0.05473501303214596,0.04643449419568822,0.048859934853420196,0.047619047619047616,0.0486322188449848
1968,0.05936254980079681,0.039232409381663114,0.03987730061349693,0.042801556420233464,0.03361344537815126
1969,0.06963329213020189,0.04713205869275233,0.055248618784530384,0.04302670623145401,0.04990403071017274
1970,0.059785147127510506,0.046220772158781946,0.026465028355387523,0.027559055118110236,0.0531496062992126
1971,0.06392251815980629,0.050731707317073174,0.04854368932038835,0.027972027972027972,0.08849557522123894
1972,0.05467847516365037,0.05197505197505198,0.05319148936170213,0.04475982532751092,0.07830551989730423
1973,0.058801775147928996,0.0390304026294166,0.052878965922444184,0.055825242718446605,0.07780082987551867
1974,0.04757050628610262,0.05265486725663717,0.06804374240583232,0.05209840810419682,0.07782515991471216
1975,0.048560628089560916,0.04812398042414356,0.04941176470588235,0.032171581769437,0.07114228456913828
1976,0.048837893498087676,0.06263135771332493,0.06218905472636816,0.03244005641748942,0.08122270742358079
1977,0.05511811023622047,0.06252570958453312,0.05966277561608301,0.04092526690391459,0.10308370044052863
1978,0.05421313506815366,0.05587510271158587,0.04387096774193548,0.06,0.10929368029739776
1979,0.057545148454239366,0.05707848291400676,0.06962025316455696,0.044142614601018676,0.11588785046728972
1980,0.05967888518630718,0.06080557707203718,0.056461731493099125,0.06743421052631579,0.15093360995850622
1981,0.0645933014354067,0.06837280366692132,0.07672634271099744,0.049079754601226995,0.1400900900900901
1982,0.07382169222032936,0.06516768292682927,0.08953341740226986,0.07296137339055794,0.1644965277777778
1983,0.07433779549985758,0.0808540427021351,0.07628128724672228,0.05301645338208409,0.16480891719745222
1984,0.0822548173712971,0.07904861839804127,0.07951807228915662,0.06013986013986014,0.1406871609403255
1985,0.0684287812041116,0.09617962466487935,0.09392898052691867,0.07623888182973317,0.14941262848751835
1986,0.07792946530147896,0.07728706624605679,0.0845225027442371,0.06018518518518518,0.12504059759662228
1987,0.07702282157676349,0.07633152947878097,0.07198443579766536,0.05069124423963134,0.14763552479815456
1988,0.06676342525399129,0.08144416456759027,0.10119595216191353,0.06465067778936393,0.15
1989,0.06856890068568901,0.07835325365205843,0.08994708994708994,0.06719367588932806,0.1518987341772152
1990,0.06562565942181894,0.08661854525263743,0.07568590350047304,0.05139664804469274,0.14651663873593487
1991,0.05870646766169154,0.08077138065958636,0.08524904214559387,0.046223224351747465,0.13252113376429636
1992,0.0637264425879153,0.08767833981841763,0.07845188284518828,0.06631578947368422,0.12461059190031153
1993,0.06408373117884686,0.07254150702426565,0.05658536585365854,0.04842105263157895,0.11885933381260484
1994,0.060403863037752414,0.07594627594627594,0.06,0.038338658146964855,0.1141110545084055
1995,0.06557934080869861,0.08157765801077903,0.05338417540514776,0.04741833508956796,0.10519156653819996
1996,0.0700999231360492,0.09194615560118641,0.0475,0.04609595484477893,0.114726741760534
1997,0.06290826469752911,0.09043927648578812,0.04728132387706856,0.03580786026200873,0.10954467517622404
1998,0.0713993732116092,0.08973119319280604,0.07608695652173914,0.052450558899398106,0.10776027660391856
1999,0.0834192882929345,0.09766654121189311,0.06671299513551077,0.05752961082910321,0.09955976972570267
2000,0.08975861260838996,0.1101027397260274,0.08043758043758044,0.06081601231716705,0.1123658162554022
2001,0.09169083091690831,0.125,0.06772908366533864,0.07326578332034295,0.11930151959477472
2002,0.10063559322033898,0.12416049595315998,0.08022388059701492,0.0586890243902439,0.1101705312231628
2003,0.09873929361947839,0.12976610060877924,0.112409571508069,0.0673992673992674,0.11634838282371122
2004,0.1094271280144886,0.13807064079296386,0.11383709519136408,0.062459336369551074,0.12185743862762496
2005,0.11857964027442981,0.1412249236083433,0.11781888997078871,0.08713410483321987,0.11892675852066716
2006,0.1242790194664744,0.1460412077232085,0.1338656646312823,0.0933075933075933,0.1187298263979761
2007,0.12259983773550888,0.14854614412136535,0.13660955816050496,0.09667673716012085,0.12077080188260368
2008,0.12727807172251618,0.14905610907184058,0.13672922252010725,0.09773936170212766,0.11312836420034668
2009,0.13342710740480257,0.1500456263850867,0.12707678491243826,0.07645051194539249,0.1153122648607976
2010,0.12303075768942236,0.14998676198040772,0.11186903137789904,0.07864406779661016,0.11618669314796425
2011,0.12558222859190254,0.14564606741573033,0.14340898116851764,0.08130081300813008,0.12466886088143213
2012,0.13567262644612296,0.16464695427371143,0.12880678981527707,0.10966057441253264,0.13499040920716113
2013,0.1426472028999706,0.17174603174603176,0.14674493062966915,0.1323943661971831,0.1412674611317181
2014,0.18710254372019078,0.19014084507042253,0.17559217301750774,0.15269461077844312,0.1719344567834123
2015,0.22110657880974793,0.2227899846704139,0.1847457627118644,0.2082514734774067,0.17867867867867868
